,Diabetes,HIV prevalence rate,Infant mortality,Poor or fair health,Premature age-adjusted mortality,Access to exercise opportunities,Adult obesity,Adult smoking,Excessive drinking,Sexually transmitted infections,Could not see doctor due to cost,Dentists,Diabetic screening,Health care costs,Mental health providers,Preventable hospital stays,Primary care physicians,Uninsured,Children in poverty,Children in single-parent households,High school graduation,Income inequality,Median household income,Social associations,Some college,Unemployment,Violent crime,Air pollution - particulate matter,Drinking water violations,Severe housing problems,2011 population estimate,Population that is not proficient in English
24031,0.071,416.8,5.8,0.092,178.9,0.999,0.188,0.079,0.142,241.0,0.098,115.0,0.86,8254.0,264.0,34.97,135.0,0.128,0.097,0.241,0.87,4.182,97873.0,8.809,0.769,0.051,181.8,12.72,0.0,0.177,1016677,0.067
17029,0.079,66.3,7.2,0.088,396.5,0.782,0.282,0.105,0.135,624.4,0.148,47.0,0.87,9846.0,164.0,84.53,52.0,0.132,0.223,0.341,0.854,5.284,39353.0,15.096,0.646,0.088,272.48,13.57,0.109,0.187,53697,0.003
13079,0.13,366.7,7.0,0.181,399.1,0.136,0.31,0.283,0.1625,246.0,0.148,38.0,0.83,8476.0,92.0,47.17,16.0,0.221,0.326,0.494,0.575,4.639,43392.0,6.349,0.54,0.085,296.38,12.92,0.0,0.198,12504,0.001
13113,0.109,143.1,5.5,0.087,236.3,0.847,0.271,0.123,0.133,224.1,0.071,90.0,0.91,8657.0,139.0,36.7,112.0,0.129,0.099,0.219,0.86,3.99,81368.0,14.229,0.763,0.072,78.52,13.12,0.805,0.133,108365,0.013
22013,0.14,239.4,7.0,0.268,551.1,0.238,0.378,0.259,0.173,781.5,0.217,14.0,0.89,12084.0,92.0,80.76,14.0,0.19,0.34,0.528,0.775,6.115,33790.0,14.919,0.458,0.071,268.16,10.74,0.302,0.147,13981,0.0
13161,0.125,224.6,7.0,0.232,515.5,0.639,0.284,0.17,0.1625,382.7,0.148,7.0,0.8,12234.0,7.0,174.7,20.0,0.226,0.369,0.36,0.775,4.538,34481.0,10.557,0.432,0.122,385.47,12.58,0.003,0.144,15004,0.018
2170,0.078,39.8,4.8,0.133,356.0,0.475,0.298,0.262,0.183,458.9,0.17,47.0,0.82,6594.0,112.0,55.5,53.0,0.217,0.12,0.242,0.72,4.147,72371.0,9.05,0.613,0.073,205.76,11.93,0.292,0.195,95192,0.006
13125,0.12,199.6,7.0,0.165,561.6,0.01,0.301,0.2075,0.1625,159.1,0.148,0.0,0.9,7693.0,92.0,65.31,32.0,0.183,0.242,0.278,0.848,4.509,37955.0,6.365,0.465,0.113,0.0,12.87,0.152,0.102,3102,0.002
40093,0.127,103.0,7.0,0.205,448.2,0.38,0.315,0.144,0.1625,208.3,0.104,13.0,0.82,9886.0,52.0,87.36,52.0,0.226,0.16,0.245,0.78,4.359,52226.0,23.428,0.507,0.032,100.7,10.2,0.529,0.055,7683,0.009
51540,0.075,447.2,6.1,0.071,352.0,1.0,0.271,0.2075,0.1625,680.2,0.148,81.0,1.0,5990.0,846.0,65.31,280.0,0.175,0.237,0.385,0.862,6.991,45320.0,20.703,0.752,0.049,438.16,12.76,0.012,0.228,44349,0.025
45001,0.134,216.3,17.6,0.199,404.6,0.634,0.346,0.213,0.147,458.1,0.178,12.0,0.87,8468.0,48.0,61.94,44.0,0.188,0.284,0.357,0.77,4.762,36187.0,11.553,0.501,0.09,486.08,12.95,0.0,0.145,25007,0.005
8031,0.063,1222.5,6.9,0.164,361.4,0.997,0.17,0.195,0.22,861.9,0.155,65.0,0.84,8810.0,404.0,37.38,117.0,0.191,0.287,0.386,0.536,5.422,51156.0,10.5,0.717,0.07,598.21,13.26,0.0,0.21,649495,0.067
48485,0.112,139.8,8.3,0.202,458.0,0.84,0.321,0.21,0.159,494.1,0.13,78.0,0.83,10624.0,133.0,55.98,73.0,0.234,0.278,0.364,0.943,4.261,43473.0,11.554,0.56,0.061,405.35,9.82,0.075,0.129,132047,0.021
20183,0.116,103.0,7.0,0.05,402.7,0.47,0.319,0.099,0.1625,293.0,0.102,81.0,0.81,9291.0,92.0,68.09,80.0,0.16,0.177,0.278,0.848,4.303,39696.0,42.497,0.791,0.037,205.76,11.89,0.165,0.088,3706,0.001
18055,0.145,41.5,9.5,0.172,445.0,0.52,0.341,0.242,0.12,239.8,0.139,34.0,0.84,9991.0,55.0,95.6,27.0,0.17,0.208,0.27,0.889,4.428,43786.0,15.179,0.555,0.085,42.01,13.84,0.06,0.113,32781,0.002
48193,0.129,109.2,7.0,0.165,414.5,0.076,0.318,0.2075,0.1625,252.8,0.148,60.0,0.84,10540.0,36.0,149.28,108.0,0.282,0.299,0.21,0.848,4.674,39448.0,21.668,0.524,0.055,254.25,9.36,0.0,0.114,8310,0.016
22003,0.113,550.3,7.0,0.25,433.8,0.31,0.347,0.213,0.135,317.2,0.21,23.0,0.76,11139.0,55.0,114.84,35.0,0.199,0.265,0.363,0.84,4.981,38122.0,12.138,0.377,0.083,167.84,9.96,0.139,0.113,25537,0.022
39041,0.087,66.3,4.0,0.07,224.3,0.89,0.265,0.123,0.199,153.5,0.043,50.0,0.88,9513.0,82.0,53.88,121.0,0.069,0.064,0.176,0.962,3.839,89016.0,9.223,0.829,0.052,88.72,13.6,0.1,0.103,184979,0.006
31103,0.109,103.0,7.0,0.165,376.65,0.444,0.271,0.136,0.17,293.0,0.148,0.0,0.85,9602.0,0.0,65.31,0.0,0.213,0.333,0.273,0.848,3.759,41491.0,12.438,0.712,0.046,0.0,11.84,0.5,0.208,790,0.003
18167,0.096,217.1,7.0,0.175,445.6,0.735,0.315,0.234,0.164,431.6,0.138,54.0,0.83,10951.0,149.0,85.59,84.0,0.172,0.297,0.386,0.91,4.89,39014.0,15.31,0.585,0.095,223.26,13.83,0.034,0.138,108291,0.007
48481,0.109,148.9,6.1,0.199,397.2,0.595,0.313,0.182,0.232,370.6,0.285,36.0,0.84,10590.0,36.0,58.32,48.0,0.269,0.282,0.383,0.937,5.239,42862.0,16.471,0.469,0.06,423.57,8.69,0.006,0.157,41216,0.052
26137,0.119,52.8,7.0,0.132,338.7,0.737,0.343,0.241,0.211,195.7,0.148,66.0,0.9,8689.0,141.0,48.17,67.0,0.132,0.212,0.26,0.824,3.83,47016.0,14.571,0.651,0.111,182.31,11.17,0.0,0.122,24129,0.003
39045,0.096,91.0,6.3,0.116,311.1,0.813,0.306,0.197,0.162,251.6,0.125,43.0,0.87,10682.0,89.0,67.8,60.0,0.112,0.153,0.271,0.918,4.247,56697.0,10.782,0.651,0.064,160.4,13.46,0.011,0.141,148867,0.005
29085,0.137,103.0,7.0,0.508,464.8,0.193,0.332,0.296,0.1625,85.2,0.265,21.0,0.81,8140.0,54.0,61.03,11.0,0.244,0.431,0.269,0.923,3.996,30040.0,10.648,0.457,0.1,24.19,9.31,0.368,0.162,9305,0.001
28095,0.151,111.7,12.4,0.237,462.0,0.415,0.325,0.232,0.063,628.8,0.202,36.0,0.88,10872.0,11.0,89.95,44.0,0.205,0.309,0.409,0.752,4.888,36264.0,14.277,0.497,0.121,205.76,12.32,0.06,0.135,36116,0.001
51075,0.114,382.7,7.0,0.072,265.2,0.657,0.255,0.135,0.139,206.1,0.148,28.0,0.88,8285.0,88.0,40.36,80.0,0.088,0.095,0.183,0.875,4.028,76843.0,18.738,0.584,0.046,106.36,12.57,0.107,0.113,21626,0.004
25005,0.105,243.4,5.5,0.152,312.6,0.955,0.286,0.203,0.204,295.4,0.082,58.0,0.9,9523.0,372.0,74.73,52.0,0.051,0.192,0.342,0.844,5.471,53626.0,8.601,0.603,0.097,555.72,10.25,0.115,0.184,552780,0.043
8051,0.048,45.7,7.0,0.07,204.0,0.955,0.16,0.138,0.265,277.9,0.168,39.0,0.57,6649.0,142.0,35.76,58.0,0.212,0.181,0.259,0.875,4.212,48391.0,20.679,0.789,0.059,251.42,11.68,0.008,0.22,15507,0.017
21025,0.151,103.0,7.0,0.342,712.3,0.292,0.411,0.306,0.044,73.3,0.245,30.0,0.88,11233.0,118.0,173.37,73.0,0.175,0.436,0.437,0.875,4.94,26869.0,5.867,0.4,0.123,205.76,12.9,0.0,0.158,13545,0.007
55027,0.095,182.0,4.6,0.146,296.3,0.762,0.296,0.145,0.265,404.9,0.094,27.0,0.9,7871.0,66.0,45.54,58.0,0.09,0.12,0.247,0.936,3.534,51623.0,12.102,0.566,0.072,81.62,11.97,0.092,0.121,88344,0.007
27035,0.09,14.4,4.2,0.156,281.2,0.55,0.27,0.166,0.199,195.6,0.107,76.0,0.89,7595.0,206.0,53.6,99.0,0.101,0.164,0.305,0.801,4.216,48661.0,16.38,0.728,0.067,157.44,12.0,0.0,0.155,63208,0.002
17181,0.109,50.0,7.0,0.165,407.5,0.581,0.331,0.2075,0.1625,153.0,0.148,40.0,0.88,9530.0,102.0,89.39,74.0,0.141,0.245,0.293,0.806,4.476,42799.0,15.867,0.596,0.114,151.77,12.9,0.0,0.112,17583,0.009
49047,0.082,21.0,5.1,0.155,369.4,0.432,0.285,0.183,0.128,199.9,0.115,48.0,0.76,7464.0,115.0,63.08,32.0,0.181,0.132,0.217,0.665,3.744,62028.0,4.055,0.52,0.036,219.28,12.33,0.184,0.14,35555,0.008
40061,0.148,56.6,7.0,0.191,485.6,0.561,0.34,0.139,0.1625,316.9,0.317,31.0,0.74,11981.0,192.0,68.03,46.0,0.26,0.322,0.319,0.812,4.076,35045.0,10.048,0.466,0.072,305.98,10.73,0.0,0.112,13052,0.014
38027,0.101,103.0,7.0,0.128,442.9,0.691,0.302,0.146,0.235,293.0,0.148,125.0,0.91,8569.0,92.0,74.22,50.5,0.142,0.115,0.379,0.848,4.616,46875.0,25.338,0.767,0.061,55.21,9.84,0.0,0.09,2404,0.002
48171,0.121,37.4,7.0,0.165,275.8,0.739,0.314,0.2075,0.144,182.9,0.148,67.0,0.89,7759.0,79.0,28.0,135.0,0.271,0.224,0.306,0.958,4.265,50443.0,18.288,0.58,0.039,63.42,8.84,0.009,0.116,25357,0.047
28085,0.138,151.0,9.9,0.248,507.0,0.482,0.365,0.222,0.08,616.0,0.213,32.0,0.86,9145.0,37.0,73.11,34.0,0.182,0.348,0.416,0.697,4.79,33632.0,16.332,0.604,0.083,133.54,11.32,0.192,0.112,34810,0.006
13133,0.153,161.0,7.0,0.192,373.5,0.455,0.299,0.126,0.1625,515.8,0.196,61.0,0.85,8913.0,18.0,45.32,68.0,0.228,0.412,0.414,0.625,5.833,42842.0,15.536,0.343,0.087,299.58,13.04,0.025,0.197,16321,0.008
38015,0.078,103.0,7.3,0.095,257.1,0.792,0.28,0.133,0.192,444.2,0.062,83.0,0.89,8187.0,201.0,43.28,104.0,0.102,0.092,0.246,0.869,4.044,63503.0,18.77,0.789,0.024,259.4,9.75,0.0,0.099,88457,0.002
16011,0.122,69.4,6.2,0.167,345.6,0.623,0.347,0.162,0.104,202.3,0.155,51.0,0.75,8445.0,113.0,37.61,35.0,0.209,0.187,0.219,0.801,4.102,47721.0,3.518,0.592,0.059,131.18,9.91,0.651,0.139,45290,0.039
35028,0.071,60.3,7.0,0.086,194.0,0.991,0.2,0.095,0.114,209.3,0.049,101.0,0.87,6654.0,208.0,27.49,182.0,0.048,0.044,0.22,0.87,3.45,110930.0,17.071,0.865,0.04,259.42,9.73,0.0,0.068,17798,0.018
22103,0.103,134.6,6.7,0.153,349.3,0.838,0.288,0.204,0.201,212.2,0.136,78.0,0.84,12412.0,140.0,78.31,79.0,0.171,0.15,0.295,0.79,4.573,61655.0,7.935,0.672,0.051,196.81,11.82,0.049,0.147,242333,0.009
31157,0.105,34.1,8.1,0.141,367.9,0.647,0.333,0.176,0.109,430.1,0.134,62.0,0.81,7775.0,225.0,57.35,78.0,0.158,0.243,0.392,0.883,4.139,43406.0,16.232,0.62,0.042,127.39,13.61,0.12,0.159,36848,0.016
39135,0.111,33.7,6.1,0.165,396.9,0.567,0.306,0.223,0.205,138.5,0.073,14.0,0.85,10792.0,36.0,82.39,24.0,0.137,0.198,0.281,0.908,3.811,47251.0,9.55,0.542,0.077,88.69,13.38,0.04,0.109,41732,0.002
48265,0.125,58.7,7.0,0.203,379.0,0.826,0.264,0.223,0.153,229.0,0.257,60.0,0.85,8804.0,254.0,44.28,70.0,0.261,0.292,0.331,0.893,4.501,42456.0,14.864,0.571,0.053,165.09,8.76,0.274,0.152,49953,0.026
13315,0.11,680.0,7.0,0.255,541.0,0.019,0.329,0.227,0.1625,683.7,0.152,33.0,0.79,9386.0,92.0,67.42,22.0,0.207,0.395,0.44,0.625,5.273,33308.0,6.617,0.368,0.119,175.15,12.53,0.0,0.154,8960,0.006
20111,0.093,35.1,5.9,0.127,355.1,0.68,0.324,0.155,0.137,465.2,0.104,63.0,0.89,8637.0,283.0,64.4,65.0,0.19,0.231,0.314,0.85,4.545,39483.0,12.149,0.576,0.069,265.72,8.75,0.038,0.18,33510,0.042
21087,0.125,53.3,7.0,0.241,399.0,0.477,0.322,0.307,0.1625,203.3,0.191,36.0,0.88,12516.0,89.0,97.78,50.5,0.208,0.316,0.293,0.95,5.617,32309.0,17.676,0.396,0.082,53.19,13.53,0.0,0.127,11180,0.0
36071,0.103,330.9,6.0,0.169,293.8,0.838,0.245,0.205,0.207,288.1,0.118,65.0,0.87,9655.0,180.0,60.3,71.0,0.11,0.212,0.235,0.842,4.731,68249.0,7.316,0.623,0.072,276.78,11.13,0.116,0.223,375592,0.046
51159,0.118,446.5,7.0,0.203,422.7,0.285,0.31,0.246,0.159,331.2,0.179,56.0,0.92,9359.0,134.0,47.52,50.5,0.19,0.258,0.426,0.775,4.606,42738.0,17.662,0.334,0.085,71.58,12.35,0.0,0.11,8953,0.022
20137,0.103,102.3,7.0,0.165,309.8,0.643,0.354,0.21,0.1625,106.9,0.075,53.0,0.76,9103.0,53.0,49.26,53.0,0.129,0.169,0.436,0.848,3.917,42389.0,32.074,0.608,0.035,99.75,12.65,0.056,0.157,5622,0.012
46069,0.103,103.0,7.0,0.09,376.65,0.626,0.32,0.2075,0.1625,293.0,0.148,0.0,0.96,7270.0,92.0,65.31,0.0,0.17,0.131,0.155,0.436,3.667,47072.0,34.795,0.556,0.034,205.76,10.16,0.0,0.107,1391,0.008
13023,0.139,361.6,7.0,0.205,512.6,0.766,0.315,0.197,0.1625,549.8,0.148,16.0,0.9,10382.0,92.0,70.77,31.0,0.178,0.287,0.475,0.825,6.707,40369.0,13.939,0.495,0.15,234.08,12.75,0.168,0.139,12771,0.002
48445,0.117,48.5,7.0,0.237,455.2,0.687,0.338,0.2075,0.1625,515.3,0.294,16.0,0.78,11419.0,92.0,96.43,32.0,0.285,0.327,0.332,0.869,4.037,37489.0,15.857,0.427,0.061,228.97,9.26,0.05,0.15,12743,0.054
36105,0.106,618.6,6.9,0.153,385.5,0.7,0.3,0.258,0.192,365.9,0.158,42.0,0.88,9697.0,132.0,65.83,47.0,0.139,0.283,0.348,0.761,4.833,46928.0,11.329,0.52,0.087,257.78,11.37,0.001,0.222,76665,0.027
30031,0.044,21.6,5.9,0.082,226.3,0.789,0.169,0.134,0.218,349.8,0.111,67.0,0.89,7179.0,249.0,31.57,84.0,0.182,0.13,0.212,0.86,4.205,56680.0,13.605,0.811,0.044,192.89,10.83,0.319,0.167,94720,0.005
1047,0.164,362.5,7.1,0.252,598.5,0.59,0.417,0.206,0.12,1525.8,0.238,33.0,0.77,9831.0,48.0,69.59,77.0,0.145,0.496,0.689,0.723,6.537,27524.0,13.531,0.443,0.127,781.84,12.93,0.0,0.235,41996,0.002
21129,0.126,73.3,7.0,0.352,674.4,0.785,0.294,0.409,0.1625,129.8,0.275,41.0,0.86,9158.0,220.0,117.88,26.0,0.177,0.5,0.305,0.881,6.122,25767.0,3.893,0.38,0.126,44.36,12.88,0.912,0.149,7260,0.004
46009,0.093,103.0,7.0,0.083,251.5,0.659,0.3,0.207,0.16,113.8,0.069,43.0,0.86,8299.0,14.0,79.01,85.0,0.137,0.177,0.231,0.848,4.923,45803.0,25.608,0.494,0.04,0.0,11.72,0.195,0.094,7046,0.002
48493,0.092,53.0,7.0,0.18,308.1,0.588,0.282,0.117,0.217,293.0,0.149,22.0,0.85,9737.0,22.0,68.9,36.0,0.197,0.163,0.245,0.943,4.169,60844.0,7.888,0.58,0.057,101.38,8.46,0.004,0.12,45418,0.019
22017,0.125,369.5,13.1,0.171,485.0,0.825,0.335,0.22,0.127,942.8,0.178,72.0,0.82,11268.0,188.0,73.43,105.0,0.19,0.325,0.553,0.63,5.144,39776.0,12.68,0.57,0.071,637.98,10.58,0.444,0.173,254887,0.006
35059,0.076,103.0,7.0,0.149,319.0,0.542,0.275,0.084,0.1625,180.5,0.143,23.0,0.47,10038.0,755.0,64.25,68.0,0.225,0.244,0.289,0.848,3.599,37902.0,15.798,0.359,0.05,472.97,11.66,0.006,0.112,4370,0.024
8119,0.07,24.6,7.0,0.08,263.8,0.815,0.167,0.226,0.113,175.3,0.144,47.0,0.8,7770.0,125.0,29.15,64.0,0.142,0.151,0.273,0.843,3.867,62725.0,12.827,0.676,0.077,165.29,12.68,0.077,0.168,23275,0.0
29117,0.113,103.0,7.0,0.245,402.7,0.649,0.299,0.199,0.1625,332.5,0.108,61.0,0.81,10136.0,67.0,89.03,73.0,0.164,0.241,0.309,0.878,4.516,38839.0,13.966,0.443,0.055,180.03,9.3,0.0,0.128,14871,0.002
42057,0.118,64.9,7.0,0.084,345.5,0.548,0.345,0.2075,0.243,121.9,0.148,14.0,0.87,10476.0,41.0,86.93,27.0,0.126,0.181,0.233,0.881,3.586,46032.0,19.632,0.426,0.086,175.04,13.07,0.0,0.125,14670,0.001
48407,0.124,103.2,7.0,0.165,496.4,0.734,0.304,0.2075,0.1625,228.6,0.148,4.0,0.8,13312.0,7.0,93.74,11.0,0.271,0.336,0.388,0.949,5.157,42320.0,3.687,0.383,0.073,329.09,8.82,0.158,0.125,26856,0.009
20077,0.113,103.0,7.0,0.107,438.8,0.551,0.321,0.229,0.108,186.1,0.068,68.0,0.87,10346.0,92.0,123.78,34.0,0.177,0.214,0.311,0.848,4.582,43066.0,33.835,0.618,0.035,167.82,10.32,0.063,0.1,5860,0.015
18131,0.136,103.0,7.0,0.261,397.3,0.381,0.347,0.224,0.1625,129.5,0.159,23.0,0.86,9779.0,31.0,79.89,38.0,0.166,0.199,0.249,0.855,4.331,44821.0,20.573,0.497,0.063,235.87,13.3,0.0,0.127,13007,0.003
21237,0.112,103.0,7.0,0.331,724.2,0.353,0.33,0.375,0.1625,181.5,0.221,14.0,0.92,11581.0,110.0,127.95,14.0,0.174,0.512,0.419,0.922,6.647,25657.0,4.188,0.416,0.13,28.85,12.92,0.5,0.145,7248,0.0
48313,0.102,169.8,7.0,0.165,359.7,0.384,0.306,0.2075,0.1625,358.3,0.148,29.0,0.81,10850.0,29.0,80.32,22.0,0.288,0.302,0.381,0.97,4.546,37460.0,10.236,0.397,0.063,206.88,8.73,0.038,0.122,13781,0.023
48467,0.123,57.7,5.5,0.209,456.2,0.298,0.34,0.211,0.101,276.6,0.193,27.0,0.86,10524.0,27.0,72.0,15.0,0.282,0.261,0.283,0.932,4.463,43220.0,12.398,0.475,0.06,192.7,9.8,0.223,0.164,52481,0.015
4000,0.089,239.6,6.5,0.156,320.3,0.858,0.239,0.166,0.161,464.6,0.14,57.0,0.79,9187.0,119.0,45.18,65.0,0.204,0.266,0.358,0.768,4.574,48504.0,5.666,0.621,0.08,416.2,10.12,0.025,0.201,6626624,0.054
48303,0.088,133.6,6.0,0.179,411.1,0.917,0.277,0.196,0.151,621.5,0.185,51.0,0.82,11725.0,127.0,62.35,75.0,0.216,0.252,0.366,0.891,4.986,46223.0,9.798,0.645,0.05,744.17,9.33,0.042,0.195,289324,0.023
54055,0.156,50.8,7.2,0.232,601.1,0.57,0.351,0.283,0.061,311.9,0.198,39.0,0.87,10542.0,108.0,92.7,59.0,0.186,0.409,0.313,0.77,4.714,34320.0,14.235,0.529,0.071,324.34,13.02,0.17,0.131,61984,0.009
37077,0.122,380.5,5.0,0.185,353.1,0.631,0.333,0.228,0.109,478.2,0.204,27.0,0.92,8198.0,263.0,57.68,48.0,0.187,0.21,0.379,0.73,4.151,48680.0,13.568,0.541,0.084,364.87,12.3,0.286,0.166,58275,0.017
34023,0.088,289.6,4.3,0.137,257.1,0.961,0.226,0.123,0.127,228.8,0.118,81.0,0.84,9882.0,149.0,57.38,95.0,0.146,0.126,0.244,0.887,4.268,76515.0,6.61,0.713,0.074,177.58,11.09,0.037,0.201,828919,0.076
25000,0.089,314.6,4.9,0.116,271.1,0.946,0.239,0.152,0.195,354.3,0.071,91.0,0.9,9407.0,463.0,62.73,103.0,0.045,0.162,0.306,0.847,5.342,66794.0,9.326,0.71,0.071,434.12,10.48,0.098,0.19,6692824,0.044
51085,0.096,97.1,5.0,0.091,291.1,0.778,0.247,0.17,0.166,213.6,0.064,55.0,0.91,9274.0,126.0,40.84,72.0,0.1,0.068,0.213,0.9,3.85,77316.0,13.808,0.728,0.05,88.63,12.48,0.001,0.103,101330,0.006
54000,0.129,93.4,7.6,0.215,462.5,0.599,0.333,0.26,0.1,258.2,0.174,48.0,0.84,9942.0,104.0,93.34,77.0,0.176,0.263,0.322,0.794,4.926,41195.0,13.269,0.529,0.065,311.15,13.19,0.035,0.113,1854304,0.003
28075,0.159,379.2,10.2,0.215,475.2,0.561,0.351,0.223,0.099,836.4,0.188,46.0,0.79,10359.0,255.0,63.92,101.0,0.18,0.388,0.523,0.693,5.311,35038.0,15.831,0.581,0.087,328.82,12.66,0.0,0.153,80254,0.007
32029,0.093,163.3,7.0,0.158,264.6,0.012,0.252,0.222,0.16,293.0,0.172,0.0,0.65,8501.0,25.0,65.31,50.5,0.235,0.126,0.305,0.848,4.122,59785.0,2.541,0.746,0.1,599.95,11.29,0.0,0.197,3942,0.0
48147,0.109,123.7,7.0,0.35,433.7,0.621,0.323,0.271,0.1625,242.4,0.226,24.0,0.82,12417.0,113.0,79.52,24.0,0.256,0.251,0.318,0.937,4.624,42392.0,13.893,0.477,0.085,166.97,10.09,0.038,0.152,33659,0.021
51063,0.113,38.7,7.0,0.137,289.3,0.427,0.294,0.273,0.1625,194.9,0.275,13.0,0.91,7732.0,45.0,40.89,26.0,0.193,0.211,0.099,0.875,3.982,41652.0,12.346,0.481,0.061,64.81,12.96,0.487,0.111,15528,0.013
1101,0.14,755.5,10.0,0.21,420.6,0.799,0.346,0.192,0.147,1252.2,0.138,65.0,0.82,9315.0,106.0,54.82,91.0,0.154,0.33,0.503,0.64,5.38,44013.0,15.294,0.614,0.069,367.5,12.84,0.0,0.187,226659,0.019
48229,0.11,103.0,7.0,0.165,254.4,0.005,0.288,0.2075,0.562,209.8,0.148,0.0,0.75,10586.0,92.0,65.31,50.5,0.374,0.457,0.427,0.848,4.104,31354.0,2.997,0.254,0.055,123.82,10.53,0.0,0.247,3318,0.265
9007,0.087,177.7,3.9,0.094,255.3,0.945,0.235,0.15,0.191,192.0,0.078,70.0,0.88,8617.0,366.0,58.18,77.0,0.083,0.076,0.232,0.938,4.3,75335.0,10.205,0.735,0.067,119.28,10.32,0.014,0.148,165562,0.012
8081,0.068,53.4,7.0,0.161,361.3,0.653,0.272,0.219,0.259,348.5,0.125,46.0,0.73,9600.0,130.0,69.72,45.0,0.176,0.164,0.192,0.825,4.531,58890.0,12.879,0.514,0.062,161.57,13.18,0.0,0.164,13103,0.026
21067,0.095,274.5,6.7,0.132,342.9,0.972,0.27,0.164,0.107,510.7,0.11,128.0,0.87,9242.0,270.0,52.69,115.0,0.159,0.218,0.378,0.827,5.48,47959.0,11.326,0.727,0.065,490.19,13.1,0.525,0.169,308428,0.028
19075,0.102,103.0,7.0,0.114,241.4,0.728,0.306,0.111,0.177,200.8,0.148,24.0,0.87,8289.0,92.0,31.24,24.0,0.079,0.085,0.227,0.923,3.453,61381.0,25.707,0.729,0.041,56.03,11.17,0.0,0.07,12314,0.001
32003,0.087,356.4,6.0,0.179,357.5,0.899,0.249,0.21,0.174,429.2,0.164,56.0,0.77,10901.0,150.0,51.73,55.0,0.25,0.237,0.372,0.62,4.155,51071.0,3.254,0.548,0.1,714.76,11.99,0.0,0.232,2027868,0.071
53067,0.098,87.7,5.3,0.135,283.3,0.898,0.292,0.191,0.159,353.0,0.129,66.0,0.79,7460.0,181.0,34.04,93.0,0.147,0.163,0.309,0.827,4.055,59877.0,9.716,0.705,0.07,230.46,10.53,0.006,0.165,262388,0.017
8111,0.064,103.0,7.0,0.165,376.65,0.166,0.21,0.2075,0.1625,293.0,0.148,0.0,0.85,5483.0,0.0,65.31,145.0,0.24,0.272,0.169,0.848,3.414,41683.0,0.0,0.667,0.071,189.39,11.19,0.0,0.235,692,0.01
19067,0.111,103.0,7.0,0.102,298.7,0.725,0.331,0.16,0.169,323.9,0.066,37.0,0.88,8681.0,12.0,60.07,44.0,0.103,0.176,0.332,0.893,4.445,48964.0,22.422,0.616,0.053,110.6,11.72,0.0,0.093,16092,0.004
31003,0.101,103.0,7.0,0.115,290.5,0.489,0.272,0.134,0.192,152.8,0.09,15.0,0.87,10719.0,31.0,62.93,61.0,0.135,0.184,0.243,0.848,4.137,48814.0,32.086,0.68,0.029,45.78,11.73,0.575,0.107,6456,0.009
31001,0.084,57.5,7.3,0.127,295.4,0.785,0.292,0.151,0.161,244.8,0.08,79.0,0.89,8204.0,326.0,59.55,79.0,0.138,0.162,0.226,0.87,4.042,52267.0,16.847,0.676,0.035,154.59,11.5,0.048,0.111,31610,0.024
37039,0.136,60.1,7.0,0.214,435.6,0.986,0.289,0.251,0.091,144.5,0.181,33.0,0.79,8026.0,143.0,46.65,41.0,0.216,0.343,0.259,0.89,4.229,34476.0,13.708,0.608,0.106,209.94,13.43,0.0,0.111,27218,0.005
53053,0.096,147.5,5.8,0.151,330.1,0.891,0.314,0.178,0.16,531.4,0.148,74.0,0.83,8431.0,329.0,50.65,67.0,0.16,0.193,0.31,0.769,4.041,57619.0,7.774,0.627,0.081,443.25,10.64,0.0,0.191,819743,0.028
39141,0.122,129.7,7.0,0.293,459.8,0.676,0.358,0.329,0.153,255.7,0.137,50.0,0.85,11419.0,187.0,81.51,68.0,0.133,0.281,0.337,0.854,4.615,42730.0,11.753,0.47,0.085,248.26,13.28,0.0,0.133,77910,0.008
23029,0.113,68.7,7.0,0.175,371.1,0.499,0.322,0.227,0.168,255.7,0.102,37.0,0.86,8888.0,429.0,82.87,62.0,0.17,0.272,0.34,0.848,4.413,35754.0,7.393,0.548,0.098,223.65,10.01,0.159,0.158,32190,0.005
46055,0.093,103.0,7.0,0.128,376.65,0.425,0.32,0.2075,0.218,293.0,0.054,53.0,0.85,9500.0,92.0,65.31,52.0,0.159,0.158,0.085,0.848,4.303,45456.0,36.101,0.7,0.028,205.76,10.61,0.071,0.065,1894,0.001
8097,0.049,204.4,7.0,0.165,118.5,0.948,0.133,0.2075,0.263,243.3,0.14,58.0,0.85,9256.0,270.0,17.97,75.0,0.178,0.089,0.179,0.975,4.32,71012.0,19.695,0.826,0.065,138.64,11.87,0.0,0.212,17379,0.015
27059,0.089,54.6,7.0,0.125,278.1,0.504,0.303,0.21,0.229,175.2,0.107,39.0,0.85,8033.0,120.0,37.78,78.0,0.093,0.108,0.252,0.793,3.215,58436.0,13.073,0.643,0.06,69.9,12.17,0.0,0.147,38204,0.001
13151,0.104,103.2,7.7,0.124,358.9,0.85,0.303,0.207,0.131,419.5,0.194,32.0,0.86,9432.0,101.0,46.28,48.0,0.183,0.167,0.342,0.76,3.565,60087.0,6.745,0.645,0.081,188.36,13.19,0.0,0.16,211128,0.015
