,Diabetes,HIV prevalence rate,Infant mortality,Poor or fair health,Premature age-adjusted mortality,Access to exercise opportunities,Adult obesity,Adult smoking,Excessive drinking,Sexually transmitted infections,Could not see doctor due to cost,Dentists,Diabetic screening,Health care costs,Mental health providers,Preventable hospital stays,Primary care physicians,Uninsured,Children in poverty,Children in single-parent households,High school graduation,Income inequality,Median household income,Social associations,Some college,Unemployment,Violent crime,Air pollution - particulate matter,Drinking water violations,Severe housing problems,2011 population estimate,Population that is not proficient in English
27103,0.077,39.7,7.5,0.077,231.6,0.75,0.284,0.066,0.156,227.8,0.148,64.0,0.89,7709.0,142.0,45.72,88.0,0.069,0.117,0.239,0.879,3.393,58620.0,12.147,0.748,0.038,99.26,12.74,0.0,0.107,33032,0.009
22031,0.138,160.4,12.9,0.187,524.4,0.565,0.35,0.284,0.119,715.8,0.196,11.0,0.77,11194.0,15.0,97.88,22.0,0.183,0.339,0.492,0.77,5.885,39403.0,15.948,0.473,0.078,1332.98,10.13,0.37,0.151,27083,0.006
16081,0.065,103.0,7.0,0.132,230.9,0.582,0.253,0.103,0.199,109.4,0.239,58.0,0.92,9934.0,107.0,53.41,60.0,0.26,0.201,0.251,0.833,3.973,52650.0,2.984,0.67,0.05,55.4,9.93,0.015,0.213,10275,0.058
18091,0.099,192.5,9.8,0.162,415.5,0.743,0.339,0.266,0.194,421.6,0.147,46.0,0.84,9611.0,80.0,69.56,49.0,0.156,0.269,0.359,0.883,4.291,46610.0,11.776,0.528,0.094,181.68,13.12,0.001,0.143,111281,0.011
26131,0.135,103.0,7.0,0.165,356.2,0.771,0.343,0.2075,0.1625,293.0,0.148,47.0,0.83,9204.0,16.0,62.51,31.0,0.155,0.316,0.281,0.848,3.87,33116.0,17.153,0.566,0.145,128.98,10.4,0.0,0.12,6322,0.004
19015,0.094,58.3,7.0,0.092,339.9,0.789,0.303,0.224,0.218,232.9,0.077,49.0,0.92,8821.0,83.0,79.2,46.0,0.09,0.155,0.265,0.901,4.102,52578.0,16.415,0.634,0.038,259.14,10.69,0.003,0.113,26364,0.004
28019,0.16,116.4,7.0,0.187,391.5,0.376,0.344,0.164,0.108,299.5,0.212,36.0,0.87,10700.0,72.0,99.17,36.0,0.196,0.373,0.302,0.775,5.187,32922.0,10.784,0.525,0.093,156.52,12.44,0.0,0.133,8371,0.0
28017,0.142,181.0,7.0,0.242,438.5,0.459,0.362,0.211,0.1625,1142.6,0.242,35.0,0.76,10029.0,29.0,69.28,40.0,0.207,0.332,0.534,0.716,4.265,32525.0,11.484,0.436,0.114,202.26,12.29,0.078,0.149,17311,0.007
8093,0.061,106.4,7.0,0.128,244.9,0.782,0.203,0.157,0.208,124.8,0.175,12.0,0.83,7187.0,81.0,17.77,25.0,0.18,0.159,0.195,0.756,3.951,57510.0,8.11,0.705,0.065,106.11,12.43,0.024,0.165,16121,0.002
24041,0.103,179.6,7.0,0.137,269.6,0.771,0.284,0.122,0.158,354.3,0.089,76.0,0.88,9130.0,348.0,50.9,89.0,0.13,0.167,0.334,0.89,4.575,57525.0,13.911,0.626,0.068,223.07,12.25,0.085,0.155,37931,0.011
18169,0.134,37.2,7.0,0.16,389.3,0.631,0.33,0.193,0.191,163.8,0.129,43.0,0.87,9140.0,164.0,49.52,46.0,0.162,0.213,0.274,0.911,3.832,45833.0,20.395,0.533,0.073,205.76,13.38,0.011,0.114,32358,0.007
21111,0.117,367.2,6.4,0.169,418.5,0.955,0.32,0.229,0.15,675.5,0.14,94.0,0.87,10089.0,257.0,66.81,91.0,0.155,0.223,0.424,0.765,4.934,47495.0,9.962,0.681,0.081,579.11,13.52,0.0,0.154,756832,0.02
12075,0.131,154.5,7.5,0.2,490.8,0.763,0.32,0.2,0.109,462.2,0.244,25.0,0.84,9986.0,28.0,72.29,22.0,0.24,0.393,0.363,0.72,4.38,33193.0,9.494,0.441,0.081,356.5,11.52,0.027,0.164,39644,0.011
